Receptor Ligand  ProtLID_Score  rank  pct_rank
  1S1Q.B 2F0R.A       2.967457    85  0.414634
  7CEI.B 7CEI.A       5.551096   158  0.770732
  7CEI.B 1UNK.D       4.233293   174  0.848780
  1AK4.A 1AK4.D      10.315862   125  0.609756
  1AK4.A 4J93.A      14.746186    83  0.404878
  1FFW.A 1FFW.B       0.000000   208  1.000000
  1FFW.A 1FWP.A       0.000000   207  1.000000
  1I8L.A 1I8L.C     285.993344     2  0.009662
  1I8L.A 1I85.D     140.258204    36  0.173913
  1I8L.A 3BX7.C     112.218931    73  0.352657
  1I8L.A 3OSK.A      74.169939   131  0.632850
  1AY7.A 1AY7.B      44.363333    17  0.082927
  1AY7.A 1A19.B      40.691938    21  0.102439
  1S1Q.A 1S1Q.B      85.621761    84  0.409756
  1S1Q.A 1YJ1.A      72.800103   104  0.507317
  1LFD.A 1LFD.B     448.768945     2  0.009756
  1LFD.A 5P21.A     131.293676    51  0.248780
  1AY7.B 1AY7.A       7.245058    84  0.409756
  1AY7.B 1RGH.B       0.857056   201  0.980488
  7CEI.A 7CEI.B     351.606403     6  0.029268
  7CEI.A 1M08.B     321.759905     9  0.043902
  1F5W.B 1F5W.A       0.000000     6
  1F5W.B 1EAJ.A       0.000000     4
  1F5W.B 1KAC.B       0.000000   143
  1F5W.B 1P6A.B       0.000000   122
  1F5W.B 2J12.B       0.000000    25
  1F5W.B 2J1K.A       0.000000   136
  1F5W.B 2W9L.A       0.000000    61 
  1F5W.B 2WBW.B       0.000000    37
  4H5S.B 4H5S.A       0.000000   146
  4H5S.B 3RBG.A       0.000000    88
  5DZL.A 2GK2.A       0.000000     6
  5DZL.A 4QXW.A       0.000000     2
  5DZL.A 4WHD.A       0.000000     1
  5DZL.A 5DZL.B       0.000000    20
  5DZL.A 6AW2.A       0.000000    30
  5DZL.A 6GBG.D       0.000000     7
  1I85.B 1I85.D       0.000000   173
  1I85.B 1I8L.C       0.000000   152
  1I85.B 3BX7.C       0.000000   198
  1I85.B 3OSK.A       0.000000   109
  1FFW.A W001.L       0.000000   186 
  1FFW.A N002.L       0.000000   179
  1FFW.A N003.L       0.000000   180
  1LFD.B W004.L       0.000000   166
  1LFD.B W005.L       0.000000   163
  1LFD.B W006.L       0.000000   169
  1LFD.B N007.L       0.000000   158
  1LFD.B S008.L       0.000000   171
  1LFD.B S009.L       0.000000   186
